    IMT         c0          c1          c2          c3          c4          c5          c6          c7          c9         c10         c11         c12         c13         c14         c15         c16         c17         c18         c19         c20        Dc20          a2          h1          h2          h3          h5          h6          k1          k2          k3        phi1        phi2        tau1        tau2        phiC      rholny
  0.250  -5.962000    1.458000    0.274000   -1.711000   -0.404000   -2.392000    0.189000    7.534000   -0.150000    0.716000    1.944150    3.343000    2.766000    0.144100   -0.172000    0.466000    0.043700    0.046300    0.005560   -0.005500    0.000000    0.185000    0.206000    1.581000   -0.787000   -0.339000   -0.210000  654.000000   -2.381000    1.861000    0.744000    0.545000    0.340000    0.316000    0.191000    0.850000
  0.300  -6.403000    1.528000    0.193000   -1.770000   -0.321000   -2.376000    0.195000    6.990000   -0.131000    0.737000    2.151170    3.334000    3.011000    0.159700   -0.084000    0.528000    0.032300    0.050800    0.004580   -0.004900    0.000000    0.164000    0.210000    1.586000   -0.795000   -0.447000   -0.121000  587.000000   -2.518000    1.865000    0.727000    0.568000    0.340000    0.300000    0.198000    0.819000
  0.400  -7.566000    1.739000   -0.020000   -1.594000   -0.426000   -2.303000    0.185000    7.012000   -0.159000    0.738000    2.287169    3.544000    3.203000    0.141000    0.085000    0.540000    0.020900    0.043200    0.004010   -0.003700    0.000000    0.160000    0.226000    1.544000   -0.770000   -0.525000   -0.086000  503.000000   -2.657000    1.874000    0.690000    0.593000    0.356000    0.264000    0.206000    0.743000
  0.500  -8.379000    1.872000   -0.121000   -1.577000   -0.440000   -2.296000    0.186000    6.902000   -0.153000    0.718000    2.263771    3.016000    3.333000    0.147400    0.233000    0.638000    0.009200    0.040500    0.003880   -0.002700    0.000000    0.184000    0.217000    1.554000   -0.770000   -0.407000   -0.281000  457.000000   -2.669000    1.883000    0.663000    0.611000    0.379000    0.263000    0.208000    0.684000
  0.750  -9.841000    2.021000   -0.042000   -1.757000   -0.443000   -2.232000    0.186000    5.522000   -0.090000    0.795000    1.738420    2.616000    3.054000    0.176400    0.411000    0.776000   -0.008200    0.042000    0.004200   -0.001600    0.000000    0.216000    0.154000    1.626000   -0.780000   -0.371000   -0.285000  410.000000   -2.401000    1.906000    0.606000    0.633000    0.430000    0.326000    0.221000    0.562000
  1.000 -11.011000    2.180000   -0.069000   -1.707000   -0.527000   -2.158000    0.169000    5.650000   -0.105000    0.556000    1.122445    2.470000    2.562000    0.259300    0.479000    0.771000   -0.013100    0.042600    0.004090   -0.000600    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000   -1.955000    1.929000    0.579000    0.628000    0.470000    0.353000    0.225000    0.467000
  1.500 -12.469000    2.270000    0.047000   -1.621000   -0.630000   -2.063000    0.158000    5.795000   -0.058000    0.480000    1.122445    2.108000    1.453000    0.288100    0.566000    0.748000   -0.018700    0.038000    0.004240    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000   -1.025000    1.974000    0.541000    0.603000    0.497000    0.399000    0.222000    0.364000
  2.000 -12.969000    2.271000    0.149000   -1.512000   -0.768000   -2.104000    0.158000    6.632000   -0.028000    0.401000    1.122445    1.327000    0.657000    0.311200    0.562000    0.763000   -0.025800    0.025200    0.004480    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000   -0.299000    2.019000    0.529000    0.588000    0.499000    0.400000    0.226000    0.298000
  3.000 -13.306000    2.150000    0.368000   -1.315000   -0.890000   -2.051000    0.148000    6.759000    0.000000    0.206000    1.122445    0.601000    0.367000    0.347800    0.534000    0.686000   -0.031100    0.023600    0.003450    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000    0.000000    2.110000    0.527000    0.578000    0.500000    0.417000    0.229000    0.234000
  4.000 -14.020000    2.132000    0.726000   -1.506000   -0.885000   -1.986000    0.135000    7.978000    0.000000    0.105000    1.122445    0.568000    0.306000    0.374700    0.522000    0.691000   -0.041300    0.010200    0.006030    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000    0.000000    2.200000    0.521000    0.559000    0.543000    0.393000    0.237000    0.202000
  5.000 -14.558000    2.116000    1.027000   -1.721000   -0.878000   -2.021000    0.135000    8.538000    0.000000    0.000000    1.122445    0.356000    0.268000    0.338200    0.477000    0.670000   -0.028100    0.003400    0.008050    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000    0.000000    2.291000    0.502000    0.551000    0.534000    0.421000    0.237000    0.184000
  7.500 -15.509000    2.223000    0.169000   -0.756000   -1.077000   -2.179000    0.165000    8.468000    0.000000    0.000000    1.122445    0.075000    0.374000    0.375400    0.321000    0.757000   -0.020500    0.005000    0.002800    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000    0.000000    2.517000    0.457000    0.546000    0.523000    0.438000    0.271000    0.176000
 10.000 -15.975000    2.132000    0.367000   -0.800000   -1.282000   -2.244000    0.180000    6.564000    0.000000    0.000000    1.122445   -0.027000    0.297000    0.350600    0.174000    0.621000    0.000900    0.009900    0.004580    0.000000    0.000000    0.596000    0.117000    1.616000   -0.733000   -0.128000   -0.756000  400.000000    0.000000    2.744000    0.441000    0.543000    0.466000    0.438000    0.290000    0.154000
