    IMT         c1         c1a         c1b         c1c         c1d          cn          cm          c2          c3          c4         c4a         crb          c5         chm          c6          c7         c7b          c8         c8a         c8b          c9         c9a         c9b         c11        c11b         cg1         cg2         cg3        phi1        phi2        phi3        phi4        phi5        phi6       gjpit         gwn      phi1jp      phi5jp      phi6jp        tau1        tau2        sig1        sig2        sig3      sig2jp
  0.300  -1.051400    0.165000   -0.231300   -0.165000    0.231300    9.190800    5.167000    1.060000    2.344000   -2.100000   -0.500000   50.000000    7.560000    3.623200    0.491900    0.035200   -0.000400    0.000000    0.269500    4.071100    0.882900    0.117500    6.878900    0.000000   -0.268800   -0.008251   -0.001812    5.195400   -0.739228   -0.240500   -0.006704    0.207277    0.001000  300.000000    1.351400    0.636200   -0.899900    0.408000  800.000000    0.436300    0.311900    0.539500    0.433800    0.799700    0.530700
  0.400  -1.379400    0.165000   -0.214600   -0.165000    0.214600    6.545900    5.231700    1.060000    2.470900   -2.100000   -0.500000   50.000000    7.573500    3.694500    0.480700    0.035200   -0.015500    0.000000    0.269500    4.374500    0.830200    0.106000    6.533400    0.000000   -0.179300   -0.007267   -0.001274    5.089900   -0.685160   -0.197500   -0.007125    0.165464    0.004000  300.000000    1.405100    0.604900   -0.961800    0.462000  800.000000    0.439600    0.316500    0.542200    0.439900    0.798800    0.531000
  0.500  -1.650800    0.165000   -0.197200   -0.165000    0.197200    5.230500    5.289300    1.060000    2.556700   -2.100000   -0.500000   50.000000    7.577800    3.740100    0.470700    0.035200   -0.027800    0.099100    0.269500    4.609900    0.788400    0.106100    6.526000    0.000000   -0.142800   -0.006492   -0.001074    4.785400   -0.547805   -0.163300   -0.007435    0.133828    0.010000  300.000000    1.440200    0.550700   -0.994500    0.524000  800.000000    0.441900    0.319900    0.543300    0.444600    0.796600    0.531300
  0.750  -2.151100    0.165000   -0.162000   -0.165000    0.162000    3.789600    5.410900    1.060000    2.681200   -2.100000   -0.500000   50.000000    7.580800    3.794100    0.457500    0.035200   -0.047700    0.198200    0.269500    5.037600    0.675400    0.100000    6.500000    0.000000   -0.113800   -0.005147   -0.001115    4.330400   -0.431431   -0.102800   -0.008120    0.085153    0.034000  300.000000    1.528000    0.358200   -1.022500    0.658000  800.000000    0.445900    0.325500    0.529400    0.453300    0.779200    0.530900
  1.000  -2.536500    0.165000   -0.140000   -0.165000    0.140000    3.302400    5.510600    1.060000    2.747400   -2.100000   -0.500000   50.000000    7.581400    3.814400    0.452200    0.035200   -0.055900    0.215400    0.269500    5.341100    0.619600    0.100000    6.500000    0.000000   -0.106200   -0.004277   -0.001197    4.166700   -0.421486   -0.069900   -0.008444    0.058595    0.067000  300.000000    1.652300    0.200300   -1.000200    0.780000  800.000000    0.448400    0.329100    0.510500    0.459400    0.750400    0.530200
  1.500  -3.068600    0.165000   -0.118400   -0.165000    0.118400    2.849800    5.670500    1.060000    2.816100   -2.100000   -0.500000   50.000000    7.581700    3.828400    0.450100    0.035200   -0.063000    0.215400    0.269500    5.768800    0.510100    0.100000    6.500000    0.000000   -0.102000   -0.002979   -0.001675    4.002900   -0.421486   -0.042500   -0.007707    0.031787    0.143000  300.000000    1.887200    0.035600   -0.924500    0.960000  800.000000    0.451500    0.333500    0.478300    0.468000    0.713600    0.527600
  2.000  -3.414800    0.164500   -0.110000   -0.164500    0.110000    2.541700    5.798100    1.060000    2.851400   -2.100000   -0.500000   50.000000    7.581800    3.833000    0.450000    0.035200   -0.066500    0.215400    0.269500    6.072300    0.391700    0.100000    6.500000    0.000000   -0.100900   -0.002301   -0.002349    3.894900   -0.421486   -0.030200   -0.004792    0.019716    0.203000  300.000000    2.134800    0.000000   -0.862600    1.110000  800.000000    0.453400    0.336300    0.468100    0.468100    0.703500    0.516700
  3.000  -3.901300    0.116800   -0.104000   -0.116800    0.104000    2.148800    5.998300    1.060000    2.887500   -2.100000   -0.500000   50.000000    7.581800    3.836100    0.450000    0.016000   -0.051600    0.215400    0.269500    6.500000    0.124400    0.100000    6.500000    0.000000   -0.100300   -0.001344   -0.003306    3.792800   -0.421486   -0.012900   -0.001828    0.009643    0.277000  300.000000    3.575200    0.000000   -0.788200    1.291000  800.000000    0.455800    0.339800    0.461700    0.461700    0.700600    0.491700
  4.000  -4.246600    0.073200   -0.102000   -0.073200    0.102000    1.895700    6.155200    1.060000    2.905800   -2.100000   -0.500000   50.000000    7.581800    3.836900    0.450000    0.006200   -0.044800    0.215400    0.269500    6.803500    0.008600    0.100000    6.500000    0.000000   -0.100100   -0.001084   -0.003566    3.744300   -0.421486   -0.001600   -0.001523    0.005379    0.309000  300.000000    3.864600    0.000000   -0.719500    1.387000  800.000000    0.457400    0.341900    0.457100    0.457100    0.700100    0.468200
  5.000  -4.514300    0.048400   -0.101000   -0.048400    0.101000    1.722800    6.285600    1.060000    2.916900   -2.100000   -0.500000   50.000000    7.581800    3.837600    0.450000    0.002900   -0.042400    0.215400    0.269500    7.038900    0.000000    0.100000    6.500000    0.000000   -0.100100   -0.001010   -0.003640    3.709000   -0.421486    0.000000   -0.001440    0.003223    0.321000  300.000000    3.729200    0.000000   -0.656000    1.433000  800.000000    0.458400    0.343500    0.453500    0.453500    0.700000    0.451700
  7.500  -5.000900    0.022000   -0.101000   -0.022000    0.101000    1.573700    6.542800    1.060000    2.932000   -2.100000   -0.500000   50.000000    7.581800    3.838000    0.450000    0.000700   -0.034800    0.215400    0.269500    7.466600    0.000000    0.100000    6.500000    0.000000   -0.100000   -0.000964   -0.003686    3.663200   -0.421486    0.000000   -0.001369    0.001134    0.329000  300.000000    2.376300    0.000000   -0.520200    1.460000  800.000000    0.460100    0.345900    0.447100    0.447100    0.700000    0.416700
 10.000  -5.346100    0.012400   -0.100000   -0.012400    0.100000    1.526500    6.741500    1.060000    2.939600   -2.100000   -0.500000   50.000000    7.581800    3.838000    0.450000    0.000300   -0.025300    0.215400    0.269500    7.770000    0.000000    0.100000    6.500000    0.000000   -0.100000   -0.000950   -0.003700    3.623000   -0.421486    0.000000   -0.001361    0.000515    0.330000  300.000000    1.767900    0.000000   -0.406800    1.464000  800.000000    0.461200    0.347400    0.442600    0.442600    0.700000    0.375500
